as_of_date,patients_currently_in_icu,patients_currently_icu_intubated
2020-08-17,59.285714285714285,35.714285714285715
2020-08-16,60.285714285714285,36.142857142857146
2020-08-15,60.714285714285715,35.857142857142854
2020-08-14,62.142857142857146,36.285714285714285
2020-08-13,63.142857142857146,37
2020-08-12,64.71428571428571,38
2020-08-11,66.28571428571429,39.142857142857146
2020-08-10,66.85714285714286,40
2020-08-09,68,40.857142857142854
2020-08-08,68.71428571428571,41.285714285714285
2020-08-07,69.14285714285714,41.857142857142854
2020-08-06,70.85714285714286,42.857142857142854
2020-08-05,70,42.857142857142854
2020-08-04,69.42857142857143,42.42857142857143
2020-08-03,70.57142857142857,42.142857142857146
2020-08-02,71.71428571428571,42.57142857142857
2020-08-01,72.57142857142857,43.714285714285715
